,city,date,gender,match_type,player of the match,team 1,team 2,team_1_batting_average,team_1_bowling_average,team_2_batting_average,team_2_bowling_average,toss_decision,toss_winner,umpire_1,umpire_2,venue,win_by_runs,win_by_wickets,winner
82,Port Elizabeth,2009-05-03,male,T20,DPMD Jayawardene,Kolkata Knight Riders,Kings XI Punjab,93.0,22.333333333333332,22.363636363636363,30.7,bat,Kolkata Knight Riders,S Asnani,MR Benson,St George's Park,0,6,Kings XI Punjab
83,Johannesburg,2009-05-03,male,T20,JH Kallis,Mumbai Indians,Royal Challengers Bangalore,23.692307692307693,10.666666666666666,24.647058823529413,10.818181818181818,bat,Mumbai Indians,RE Koertzen,TH Wijewardene,New Wanderers Stadium,0,9,Royal Challengers Bangalore
84,East London,2009-05-04,male,T20,MS Dhoni,Chennai Super Kings,Deccan Chargers,28.6,22.607142857142858,1.0,15.6,bat,Chennai Super Kings,BR Doctrove,M Erasmus,Buffalo Park,78,0,Chennai Super Kings
85,Durban,2009-05-05,male,T20,GC Smith,Rajasthan Royals,Kings XI Punjab,59.0,23.04,4.0,31.666666666666668,field,Kings XI Punjab,SS Hazare,IL Howell,Kingsmead,78,0,Rajasthan Royals
86,Durban,2009-05-05,male,T20,G Gambhir,Kolkata Knight Riders,Delhi Daredevils,36.0,24.272727272727273,37.44444444444444,35.25,bat,Kolkata Knight Riders,GAV Baxter,IL Howell,Kingsmead,0,9,Delhi Daredevils
87,Centurion,2009-05-06,male,T20,RG Sharma,Deccan Chargers,Mumbai Indians,6.0,12.083333333333334,5.0,21.733333333333334,bat,Deccan Chargers,MR Benson,HDPK Dharmasena,SuperSport Park,19,0,Deccan Chargers
88,Centurion,2009-05-07,male,T20,A Singh,Royal Challengers Bangalore,Rajasthan Royals,8.5,4.571428571428571,60.0,31.42105263157895,field,Rajasthan Royals,K Hariharan,DJ Harper,SuperSport Park,0,7,Rajasthan Royals
89,Centurion,2009-05-07,male,T20,ML Hayden,Chennai Super Kings,Kings XI Punjab,42.333333333333336,23.653846153846153,28.25,21.681818181818183,bat,Chennai Super Kings,DJ Harper,TH Wijewardene,SuperSport Park,12,0,Chennai Super Kings
90,East London,2009-05-08,male,T20,A Nehra,Mumbai Indians,Delhi Daredevils,10.0,23.454545454545453,25.181818181818183,34.0,bat,Mumbai Indians,M Erasmus,SK Tarapore,Buffalo Park,0,7,Delhi Daredevils
91,Kimberley,2009-05-09,male,T20,DPMD Jayawardene,Deccan Chargers,Kings XI Punjab,27.428571428571427,25.346153846153847,31.0,22.733333333333334,field,Kings XI Punjab,GAV Baxter,AM Saheba,De Beers Diamond Oval,0,3,Kings XI Punjab
92,Kimberley,2009-05-09,male,T20,S Badrinath,Rajasthan Royals,Chennai Super Kings,17.11111111111111,24.423076923076923,28.333333333333332,26.25,bat,Rajasthan Royals,GAV Baxter,HDPK Dharmasena,De Beers Diamond Oval,0,7,Chennai Super Kings
93,Port Elizabeth,2009-05-10,male,T20,JP Duminy,Mumbai Indians,Royal Challengers Bangalore,17.6,5.0,34.2,15.142857142857142,bat,Mumbai Indians,BR Doctrove,BG Jerling,St George's Park,16,0,Mumbai Indians
94,Johannesburg,2009-05-10,male,T20,A Mishra,Kolkata Knight Riders,Delhi Daredevils,15.285714285714286,34.142857142857146,40.666666666666664,5.0,field,Delhi Daredevils,SL Shastri,RB Tiffin,New Wanderers Stadium,0,7,Delhi Daredevils
95,Kimberley,2009-05-11,male,T20,DR Smith,Deccan Chargers,Rajasthan Royals,19.571428571428573,30.133333333333333,1.6666666666666667,23.045454545454547,bat,Deccan Chargers,GAV Baxter,HDPK Dharmasena,De Beers Diamond Oval,53,0,Deccan Chargers
96,Centurion,2009-05-12,male,T20,LRPL Taylor,Kolkata Knight Riders,Royal Challengers Bangalore,28.428571428571427,98.16666666666667,34.77777777777778,5.0,field,Royal Challengers Bangalore,M Erasmus,SS Hazare,SuperSport Park,0,6,Royal Challengers Bangalore
97,Centurion,2009-05-12,male,T20,Harbhajan Singh,Kings XI Punjab,Mumbai Indians,14.285714285714286,16.333333333333332,32.5,25.884615384615383,bat,Kings XI Punjab,SS Hazare,RE Koertzen,SuperSport Park,0,8,Mumbai Indians
98,Durban,2009-05-13,male,T20,R Bhatia,Delhi Daredevils,Deccan Chargers,30.727272727272727,24.11111111111111,0.5,19.066666666666666,field,Deccan Chargers,DJ Harper,SL Shastri,Kingsmead,12,0,Delhi Daredevils
99,Durban,2009-05-14,male,T20,LRPL Taylor,Chennai Super Kings,Royal Challengers Bangalore,20.0,31.6,9.142857142857142,34.25,bat,Chennai Super Kings,BR Doctrove,DJ Harper,Kingsmead,0,2,Royal Challengers Bangalore
100,Durban,2009-05-14,male,T20,SK Warne,Rajasthan Royals,Mumbai Indians,5.0,27.545454545454547,0.0,23.653846153846153,bat,Rajasthan Royals,BR Doctrove,DJ Harper,Kingsmead,2,0,Rajasthan Royals
101,Bloemfontein,2009-05-15,male,T20,B Lee,Delhi Daredevils,Kings XI Punjab,4.0,24.821428571428573,32.72222222222222,23.11111111111111,field,Kings XI Punjab,HDPK Dharmasena,IL Howell,OUTsurance Oval,0,6,Kings XI Punjab
102,Port Elizabeth,2009-05-16,male,T20,ML Hayden,Mumbai Indians,Chennai Super Kings,10.2,23.413793103448278,42.25,22.90909090909091,bat,Mumbai Indians,SK Tarapore,SJA Taufel,St George's Park,0,7,Chennai Super Kings
