,city,date,gender,match_type,player of the match,team 1,team 2,toss_decision,toss_winner,umpire_1,umpire_2,venue,win_by_runs,win_by_wickets,winner
623,,2010-08-28,male,ODI,TM Dilshan,Sri Lanka,India,bat,Sri Lanka,Asad Rauf,EAR de Silva,Rangiri Dambulla International Stadium,74,0,Sri Lanka
624,Abu Dhabi,2010-10-29,male,ODI,LL Tsotsobe,Pakistan,South Africa,bat,Pakistan,Asad Rauf,RJ Tucker,Sheikh Zayed Stadium,0,8,South Africa
625,Abu Dhabi,2010-10-31,male,ODI,Abdul Razzaq,Pakistan,South Africa,bat,South Africa,Aleem Dar,RJ Tucker,Sheikh Zayed Stadium,0,1,Pakistan
626,,2010-11-02,male,ODI,HM Amla,Pakistan,South Africa,field,Pakistan,Aleem Dar,RJ Tucker,Dubai International Cricket Stadium,2,0,South Africa
627,,2010-11-05,male,ODI,Younis Khan,Pakistan,South Africa,bat,South Africa,DJ Harper,Zameer Haider,Dubai International Cricket Stadium,0,1,Pakistan
628,,2010-11-08,male,ODI,JH Kallis,Pakistan,South Africa,bat,South Africa,DJ Harper,Nadeem Ghauri,Dubai International Cricket Stadium,57,0,South Africa
629,Bloemfontein,2010-10-15,male,ODI,CA Ingram,South Africa,Zimbabwe,bat,South Africa,Enamul Haque,M Erasmus,OUTsurance Oval,64,0,South Africa
630,Potchefstroom,2010-10-17,male,ODI,J Theron,South Africa,Zimbabwe,bat,Zimbabwe,Enamul Haque,BG Jerling,Senwes Park,0,8,South Africa
631,Benoni,2010-10-22,male,ODI,JP Duminy,South Africa,Zimbabwe,bat,South Africa,JD Cloete,Enamul Haque,Willowmoore Park,272,0,South Africa
632,Durban,2011-01-12,male,ODI,LL Tsotsobe,South Africa,India,bat,South Africa,M Erasmus,SJA Taufel,Kingsmead,135,0,South Africa
633,Johannesburg,2011-01-15,male,ODI,MM Patel,South Africa,India,bat,India,BG Jerling,SJA Taufel,New Wanderers Stadium,1,0,India
634,Cape Town,2011-01-18,male,ODI,YK Pathan,South Africa,India,bat,South Africa,JD Cloete,SJA Taufel,Newlands,0,2,India
635,Port Elizabeth,2011-01-21,male,ODI,JP Duminy,South Africa,India,bat,South Africa,JD Cloete,SJA Taufel,St George's Park,48,0,South Africa
636,Centurion,2011-01-23,male,ODI,HM Amla,South Africa,India,field,India,BG Jerling,SJA Taufel,SuperSport Park,33,0,South Africa
637,Visakhapatnam,2010-10-20,male,ODI,V Kohli,India,Australia,field,India,BF Bowden,SK Tarapore,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0,5,India
638,Dublin,2010-08-18,male,ODI,,Ireland,Netherlands,bat,Netherlands,NG Bagh,JD Cloete,Clontarf Cricket Club Ground,0,9,Ireland
639,Skating and Curling Club,2010-09-06,male,ODI,R Gunasekera,Canada,Ireland,bat,Ireland,K Bayney,CB Gaffaney,Toronto Cricket,4,0,Canada
640,Colombo,2011-01-31,male,ODI,,Sri Lanka,West Indies,bat,West Indies,EAR de Silva,BNJ Oxenford,Sinhalese Sports Club Ground,0,0,no result
641,Colombo,2011-02-03,male,ODI,WU Tharanga,Sri Lanka,West Indies,field,Sri Lanka,HDPK Dharmasena,BNJ Oxenford,Sinhalese Sports Club Ground,0,8,Sri Lanka
